Forecast_Cd,Forecast_Name,fecha,mth,dia_sem,dia_sem_txt,cierre_tj,Cant_Trx,flag_tj_vto,flag_tv_vto,flag_tm_vto,flag_tj_cierre,flag_tv_cierre,flag_tm_cierre
100,SUCURSALES,1/16/2012,201201,2,LUN,0,51042,,,,,,
302,TAS,1/16/2012,201201,2,LUN,0,0,,,,,,
701,TS,1/16/2012,201201,2,LUN,0,0,,,,,,
602,ACCESS BANKING,1/17/2012,201201,3,MAR,0,217007,,,,,,
400,ATM,1/17/2012,201201,3,MAR,0,71888,,,,,,
601,CONNECTION BANKING,1/17/2012,201201,3,MAR,0,48525,,,,,,
201,HOLA OPERADOR,1/17/2012,201201,3,MAR,0,9697,,,,,,
202,IVR,1/17/2012,201201,3,MAR,0,13144,,,,,,
500,MOBILE,1/17/2012,201201,3,MAR,0,1097,,,,,,
301,QDB,1/17/2012,201201,3,MAR,0,24177,,,,,,
100,SUCURSALES,1/17/2012,201201,3,MAR,0,46512,,,,,,
302,TAS,1/17/2012,201201,3,MAR,0,0,,,,,,
701,TS,1/17/2012,201201,3,MAR,0,0,,,,,,
602,ACCESS BANKING,1/18/2012,201201,4,MIE,0,199382,,,,,,
400,ATM,1/18/2012,201201,4,MIE,0,69352,,,,,,
601,CONNECTION BANKING,1/18/2012,201201,4,MIE,0,44691,,,,,,
201,HOLA OPERADOR,1/18/2012,201201,4,MIE,0,8683,,,,,,
202,IVR,1/18/2012,201201,4,MIE,0,11942,,,,,,
500,MOBILE,1/18/2012,201201,4,MIE,0,1073,,,,,,
301,QDB,1/18/2012,201201,4,MIE,0,19792,,,,,,
100,SUCURSALES,1/18/2012,201201,4,MIE,0,42266,,,,,,
302,TAS,1/18/2012,201201,4,MIE,0,0,,,,,,
701,TS,1/18/2012,201201,4,MIE,0,0,,,,,,
602,ACCESS BANKING,1/19/2012,201201,5,JUE,3,194385,,,,,,
400,ATM,1/19/2012,201201,5,JUE,3,74613,,,,,,
601,CONNECTION BANKING,1/19/2012,201201,5,JUE,3,44156,,,,,,
201,HOLA OPERADOR,1/19/2012,201201,5,JUE,3,7372,,,,,,
202,IVR,1/19/2012,201201,5,JUE,3,11770,,,,,,
500,MOBILE,1/19/2012,201201,5,JUE,3,1175,,,,,,
301,QDB,1/19/2012,201201,5,JUE,3,17274,,,,,,
100,SUCURSALES,1/19/2012,201201,5,JUE,3,40677,,,,,,
302,TAS,1/19/2012,201201,5,JUE,3,0,,,,,,
701,TS,1/19/2012,201201,5,JUE,3,0,,,,,,
602,ACCESS BANKING,1/20/2012,201201,6,VIE,0,178377,,,,,,
400,ATM,1/20/2012,201201,6,VIE,0,77883,,,,,,
601,CONNECTION BANKING,1/20/2012,201201,6,VIE,0,45136,,,,,,
